x,y,diameter,name
160,103,43.19839,Blah
372,137,52.424526,Blah
273,235,61.14072,Blah
121,179,44.758068,Blah
327,53,77.94098,Blah
550,227,58.423332,Blah
446,300,42.505527,Blah
438,179,58.131622,Blah
233,152,52.70292,Blah
103,278,45.732018,Blah
46,87,67.61034,Blah
131,29,54.447018,Blah
199,67,41.321754,Blah
227,152,64.366394,Blah
231,264,75.57597,Blah
387,229,56.939613,Blah
467,112,72.07106,Blah
526,65,57.012283,Blah
406,57,42.113976,Blah
383,91,73.03718,Blah
320,111,50.370785,Blah
269,189,65.1945,Blah
346,243,63.176918,Blah
482,263,65.030655,Blah
324.0,295.0,69.83904,Blah
142.0,226.0,72.060486,Blah
38.0,208.0,46.33625,Blah
615.0,327.0,49.21216,Blah
611.0,25.0,57.79238,Blah
